reference_tip,nearest_asv,distance_to_nearest_asv,phylum_panel,taxonomic_panel,Phylum_clean,Class_clean,primary_accession,accession_candidates,arb_context,accession,version,definition,source,organism,isolation_source,geo_loc_name,clone,title,pubmed,reference_keyword,reference_label_keyword
UncCr933,ASV_348,0.01096,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ249644,GQ249644;KX172942,exw2 | Unc2lfjy | KX172942 | Bum0 | k/@@ | EzlYy158 | EzlYy158 | 1..1494 | 1-1494 | apel | 77133 | EC2A8A | j?kFd5 | 39='. | UncCr933 | GQ249644 | ronment | Bte0 | IENA; RDP; | nzalez | B02-arc | B02-arc | 1..912 | 1-912 | de la | ESpain | 29281 | rR@@ | C9E3,NA,GQ249644.1,"Uncultured crenarchaeote clone B02-arc 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,marine sediment: 6-8 cm layer,Spain: Bay of Cadiz,B02-arc,NA,NA,marine; sediment,marine; sediment (GQ249644)
UncAr551,ASV_4136,0.00916,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KF975587,KF975587,Cmat | +B3) | 1..1454 | 1-1454 | CUSA | 155900 | errero Negro | ED190F | Xe-` | KC5k | z?qwI | z?/=eX | _l<V | =Uv(k8\ | UncAr551 | KF975587 | An0 | ENA; R | FMSA15 | FMSA15 | 1..1442 | 1-1442 | IGEB | 115547 | Foroumad | D8C78 | +aq | BcsBev12 | Ieveridgei,NA,KF975587.1,"Uncultured archaeon clone FMSA15 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,mine environment soil,"Iran: Semnan Province, Foroumad chromite
                     mine",FMSA15,NA,NA,soil,soil (KF975587)
Unc04bnz,ASV_16463,0.0241,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EU570095,EU570095;GU560181,+t>% | UncA1293 | GU560181 | Morax | ENA; R | W5S20 | W5S20 | 1..1503 | 1-1503 | 165433 | orax | E81AE3 | 84U@ | :N]r | Unc04bnz | EU570095 | An0 | IENA; RDP; | XZ-500 | XZ-500 | soil | 1..913 | 1-913 | 115547 | Dones@ | IEF2CCB | qc:G | `aVU | Unc03550,NA,EU570095.1,"Uncultured archaeon clone XZ-500 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,soil,,XZ-500,NA,NA,soil,soil (EU570095)
UncCr971,ASV_16463,0.01646,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ249642,GQ249642,Kidium XlVb; | ENA; R | nzalez | lone E34 | 1..1226 | 1-1226 | de la | ESpain | 344338 | rR@@ | 4(Aa | /D9850 | AYz) | h7>mZ | UncCr971 | GQ249642 | ronment | Bte0 | IENA; RDP; | nzalez | A03-arc | A03-arc | 1..911 | 1-911 | de la | ESpain | 29281 | rR@@ | DEE64,NA,GQ249642.1,"Uncultured crenarchaeote clone A03-arc 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,marine sediment: 0-2 cm layer,Spain: Bay of Cadiz,A03-arc,NA,NA,marine; sediment,marine; sediment (GQ249642)
Unc0iisj,ASV_12710,0.00906,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AY942988,AY942988,"Didae | ost  | 1..1742 | 1-1742 | 24027350 | NOR-7-W12 | +DB;  | 1403015 | CM7, TSR1 | alys | H-@@ | E0AC84 | O-?Xl | IH~0 | Unc0iisj | AY942988 | ronment | Bte0 | ENA; R | FW.; ;  | ?!Eshrub | 1..959 | 1-959 | FW.; ;  | 29281 | Peashrub P | Loess | ED9F9B | Unc02cfg",NA,AY942988.1,"Uncultured crenarchaeote clone 14 16S ribosomal RNA gene, partial             sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,rhizosphere of peashrub,China: Loess Plateau,14,NA,NA,root/rhizosphere,root/rhizosphere (AY942988)
UncCr989,ASV_12710,0.05016,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EU307038,EU307038;EU454238;EU307023;E16704,A/H1&I | UncC9332 | EU307023 | ronment | Bte0 | IENA; RDP; | CE08 | 9Hggregate | B8)0 | 1..912 | 1-912 | 29281 | E16704 | U@XJ# | UncCr989 | EU307038 | ronment | Bte0 | IENA; RDP; | CB11 | 9Hggregate | B8)0 | 1..910 | 1-910 | 29281 | EE79B13 | Unc013cv | EU454238 | Bum0,NA,EU307038.1,"Uncultured crenarchaeote clone ArcC-s_cB11 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,saturated C horizon soil aggregate,,ArcC-s_cB11,NA,NA,soil,soil (EU307038)
Unc04azz,ASV_12710,0.02838,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AB712056,AB712056;LN571904;AB712042,AB712042 | An0 | IENA; RDP; | D; ;  | Ke: rs-jx91. | rs-jx91 | 1..960 | 1-960 | 115547 | jAs@ | D68DF | e-pZ | /^d4L | j9G2 | Unc04azz | AB712056 | An0 | IENA; RDP; | D; ;  | Le: rs-jx105. | rs-jx105 | 1..918 | 1-918 | 115547 | jAs@ | E3B2BB | 5Z> | Unc02ey1 | LN571904,NA,AB712056.1,"Uncultured archaeon gene for 16S rRNA, partial sequence, isolate:             rs-jx105.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,red soil,China:Jiangxi,,NA,NA,soil,soil (AB712056)
Unc03q0i,ASV_12710,0.03111,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574621,LN574621;E39104,"ENA; R | $B;  | D2_24 | 07122804_ | 1..1412 | 1-1412 | P B;  |  Lin | 198431 | eding | T/@@ | EC238A | :""r'l | `z'Q | Unc03q0i | LN574621 | Bum0 | ENA; R | SIGW811 | SIGW811 | Cica | F9.73 W0 | 1..1308 | 1-1308 | nB;  | DUSA. | 77133 | E39104 | p{m]",NA,LN574621.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW811_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW811_N9D4_16S_A,NA,NA,environmental,environmental (LN574621)
Unc08q60,ASV_1925,0.03881,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,HQ269184,HQ269184;KU973968,_s{nZ | GQTPra80 | KU973968 | China |  190520 | stem | 1..1436 | 1-1436 | 190520 | ]/B;  | 1169025 | Dyces | FD4B7F5 | 3U=De | Unc08q60 | HQ269184 | An0 | ENA; R | -}FR.; ;  | A05Ch141 | A05Ch141 | C12) | F8.41 E0 | 1..1010 | 1-1010 | sG R.; ;  | 115547 | ARB_597BEE51 | DtG},NA,HQ269184.1,"Uncultured archaeon clone A05Ch141 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"0-7.5 cm soil sample from a meadow
                     incubated as anoxic slurry",Germany: Giessen,A05Ch141,NA,NA,soil,soil (HQ269184)
UncCr677,ASV_4136,0.03237,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AY943025,AY943025;JQ611211,JQ611211 | Bum0 | ENA; R | 5B;  | KSTye-VF1-B-019 | KSTye-VF1-B | fluid | 1..1337 | 1-1337 | aipei | 77133 | m[@@ | E1764A | l)+A | UncCr677 | AY943025 | ronment | Bte0 | *%@@ | ENA; R | FW.; ;  | peashrub | 1..957 | 1-957 | FW.; ;  | 29281 | Peashrub P | Loess | ARB_1A06D89F,NA,AY943025.1,"Uncultured crenarchaeote clone 7 16S ribosomal RNA gene, partial             sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,soil from peashrub plantation,China: Loess Plateau,7,NA,NA,soil,soil (AY943025)
Unc04bzz,ASV_259,0.01211,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JX196247,JX196247;JX196242,JX196242 | protei | An0 | x#@@ | IENA; RDP; | C125 | China | IMCUGW21A125 | 1..944 | 1-944 | ygccr | 115547 | D9C30 | ]tN | Unc04bzz | JX196247 | An0 | x#@@ | IENA; RDP; | [B14 | China | IMCUGW01A14 | 1..908 | 1-908 | ygccr | 115547 | D4587 | '{sCDw | M8Ak,NA,JX196247.1,"Uncultured archaeon clone IMCUGW01A14 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"groundwater samples from Inner
                     Mongolia",China,IMCUGW01A14,NA,NA,environmental,environmental (JX196247)
Unc03ovr,ASV_259,0.02807,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574516,LN574516,SIFC642 | SIFC642 | Cica | F9.73 W0 | 1..1308 | 1-1308 | nB;  | DUSA. | 77133 | EBFD20 | Chho] | 8M&n | t^:Z | :/ @ | Unc03ovr | LN574516 | Bum0 | ENA; R | SIGW618 | SIGW618 | Cica | F9.73 W0 | 1..1311 | 1-1311 | nB;  | DUSA. | 77133 | EA27EC | #Zch,NA,LN574516.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW618_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW618_N9D4_16S_A,NA,NA,environmental,environmental (LN574516)
Unc04bny,ASV_259,0.04233,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JQ978483,JQ978483;J131029.111,Bum0 | ENA; R | marow | ncd529a05c1 | ncd52 | Cens0 | 1..1359 | 1-1359 | Ftgtrca | J131029.111 | (NIH) | 77133 | E5E676 | Xq8- | Unc04bny | JQ978483 | An0 | IENA; RDP; | SLA-AP2-4 | China | SLA-AP2-4 | 1..912 | 1-912 | 115547 | 7I@@ | EA2152 | ueo\ | zs1m | +{e/~,NA,JQ978483.1,"Uncultured archaeon clone SLA-AP2-4 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,permafrost soil,China,SLA-AP2-4,NA,NA,soil,soil (JQ978483)
Unc04bir,ASV_2026,0.00879,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KC505271,KC505271;KC505280;KC505262,ARB_ED516645 | Unc04azb | KC505262 | An0 | IENA; RDP; | A2-63 | W.G. Hu | 1..915 | 1-915 | 115547 | permaforst | E4B4B1 | yNf5 | Pq8- | Unc04bir | KC505271 | An0 | IENA; RDP; | AR4-141 | W.G. Hu | 1..912 | 1-912 | 115547 | permaforst | E44C05 | lx+( | HrzN]2 | Unc04bok | KC505280,NA,KC505271.1,"Uncultured archaeon clone AR4-141 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"permafrost soil from Kunlun Mountains
                     Pass, Mt. Kunlun",China: Qinghai-Tibet Plateau,AR4-141,NA,NA,soil,soil (KC505271)
Unc04acs,ASV_421,0.04423,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KC505315,KC505315;KC505296,*nGI | Unc04bol | KC505296 | An0 | IENA; RDP; | AR7-193 | W.G. Hu | 1..912 | 1-912 | 115547 | permaforst | EF2E8A | O-:f | '.yt  | Unc04acs | KC505315 | An0 | *A4@ | IENA; RDP; | AR6-14 | W.G. Hu | 1..916 | 1-916 | 115547 | permaforst | E68DA1 | pIy@\ | \:Wp | Jtah,NA,KC505315.1,"Uncultured archaeon clone AR6-14 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"permafrost soil from Kunlun Mountains
                     Pass, Mt. Kunlun",China: Qinghai-Tibet Plateau,AR6-14,NA,NA,soil,soil (KC505315)
Unc03qa7,ASV_4136,0.03211,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN573968,LN573968;JQ212250;FC89650,"JQ212250 | Bum0 | ENA; R | FA.; ;  | DolOr_04268 | 1..1360 | 1-1360 | 11 M | 77133 | FC89650 | hX#K | Nvx;ty | ~45R | 3 i~M/ | Unc03qa7 | LN573968 | Bum0 | ENA; R | SIGW1228 | SIGW1228 | Cica | F9.73 W0 | 1..1308 | 1-1308 | nB;  | DUSA. | 77133 | E3EFF6 | DD^,Zk",NA,LN573968.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW1228_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW1228_N9D4_16S_A,NA,NA,environmental,environmental (LN573968)
Unc03qhr,ASV_1344,0.00689,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574506,LN574506, Rud | 1..2212 | 1-2212 | Spodare | 18 LS | e select. | 5696 | 9Bes@ | E1848B | pYWG | w!lq | WU8n | Bs1n | 7G>0 | Unc03qhr | LN574506 | Bum0 | ENA; R | SIGW732 | SIGW732 | Cica | F9.73 W0 | 1..1307 | 1-1307 | nB;  | DUSA. | 77133 | EA8636 | LQ0+,NA,LN574506.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW732_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW732_N9D4_16S_A,NA,NA,environmental,environmental (LN574506)
Unc03pkw,ASV_3614,0.02066,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574364,LN574364,lus;G | IENA; RDP; | rrnH-16S | 6292-6 | B4)0 | 2190784..2192336 | 1-3544776 | Fgkh970 | 15576355 | URL  | Kexbase.html | 235909 | vAs@ | XEBB7E5 | Unc03pkw | LN574364 | Bum0 | D*@@ | ENA; R | SIGW548 | SIGW548 | Cica | F9.73 W0 | 1..1309 | 1-1309 | nB;  | DUSA. | 77133 | E86F9D,NA,LN574364.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW548_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW548_N9D4_16S_A,NA,NA,environmental,environmental (LN574364)
Unc08kpc,ASV_3614,0.0338,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF444659,EF444659;EF444668;EF444651,+ae/~ | )vp3 | hn.1v | Unc045eq | EF444651 | An0 | ENA; R | Thp_A_129 | Thp_A | 1..1220 | 1-1220 | Cece | 115547 | E2DD30 | Unc08kpc | EF444659 | An0 | ENA; R | Thp_A_143 | Thp_A | 1..1171 | 1-1171 | Cece | 115547 | D1410 | -K@Z{ | Unc047uz | EF444668 | An0,NA,EF444659.1,"Uncultured archaeon clone Thp_A_143 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,Thermopiles hot springs,Greece,Thp_A_143,NA,NA,hot spring/thermal,hot spring/thermal (EF444659)
UncCre70,ASV_3614,0.09436,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AB113630,AB113630;AB113634;AB113627,"4:-@ | [C|9X6 | 35F0 | UncNat11 | AB113627 | nment | ENA; R | HAuD-MA45 | JJHAuD-MA45. | 1..1403 | 1-1403 | 16309394 | 236503 | ARB_BEF1B548 | UncCre70 | AB113630 | ronment | Bte0 | ENA; R | HAuD-LA19 | JJHAuD-LA19. | 1..1430 | 1-1430 | 16309394 | 29281 | ARB_5283ABB8 | XS,r0 | UncCre75 | AB113634",NA,AB113630.1,"Uncultured crenarchaeote gene for 16S rRNA, partial sequence,             clone: HAuD-LA19.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,"PCR-derived sequence from subsurface
                     geothermal water",,HAuD-LA19,NA,NA,hot spring/thermal,hot spring/thermal (AB113630)
IHAEnric,ASV_3614,0.03152,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JF799596,JF799596,S49M2330 | B260 | FEhigan | MCgan | Cens0 | 4720394..4721945 | 1-5192910 | UMH6 n[G] | 016 M | D2159 | 4uo5 | Ot_5 | S4>= | Ob^M | IHAEnric | Crena | +HREC-B109 | JF799596 | ronment | Crena | +HREC-B109 | Crena | +HREC-B109 | Crena | +HREC-B109 | Crena | g+HREC-B1090 | !@@ | ENA; R,NA,JF799596.1,"Crenarchaeote enrichment culture clone OREC-B109 16S ribosomal RNA             gene, partial sequence.",Crenarchaeote enrichment culture clone OREC-B109,Crenarchaeote enrichment culture clone OREC-B109             Archaea; Thermoproteota; environmental samples.,plant roots,,OREC-B109,NA,NA,root/rhizosphere; enrichment,root/rhizosphere; enrichment (JF799596)
N40Vienn,ASV_3614,0.02968,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,NA,,W032701CTS_hole | .4 kmbls | 3:47 | 1B6)0 | 1..1530 | 1-1530 | *[B;  | incet | 77133 | ED8A-2 | E2EFBD | ocNM | #|jq | =UuS | N40Vienn | vien | DEN76 | B360 | vien | DEN76 | vien | DEN76 | Thaum | vien | vien | Stiegl | 2008 | JCM:19564 | EN76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,environmental,environmental
UncTh452,ASV_886,0.02199,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JF422932,JF422932;JF422940,"ENA; R | 43Arc R3 | 43Arc R3 | 1..1567 | 1-1567 | ctcg | (C055 | Baden-Wue | 198240 | Bes@ | Janoculleus | EC1A4C | KC|; | |Yh- | UncTh452 | JF422932 | ENA; R | 4,D Sea | 1..1046 | 1-1046 | Taphan | 651141 | ault | E Sea)@ | ARB_FC9E1792 | Unc0p87u | >Ae | JF422940 | >Ae",NA,JF422932.1,"Uncultured thaumarchaeote clone 1659PCS_1A_10 16S ribosomal RNA             gene, partial sequence.",uncultured Nitrososphaerota archaeon,uncultured Nitrososphaerota archaeon             Archaea; Nitrososphaerota; environmental samples.,"10 cm-deep methane seep sediment in
                     Cinarcik, Marmara Sea",,1659PCS_1A_10,NA,NA,marine; sediment; putative AOA context,marine; sediment; putative AOA context (JF422932)
Unc04c2y,ASV_5315,0.02208,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ926250,GQ926250;X74000,p;o* | ClrMirab | X74000 | 2Ba; | Mdreyeva 748-I | Plants | 1..2286 | 1-2286 | Andreyeva 748-I | 3083 | Chori | once | C57C | 8#NM | Unc04c2y | GQ926250 | An0 | Q @@ | IENA; RDP; | China | MD3043 | 1..908 | 1-908 | 115547 | EF5AD5 | Ho6! | MbsCocco | Megabalanus coccopoma | &Hbalanus;,NA,GQ926250.1,"Uncultured archaeon clone MD3043C-11 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,deep-sea sediment,China,MD3043C-11,NA,NA,marine; sediment,marine; sediment (GQ926250)
